year,pr_cmcc-esm2,pr_nesm3,tas_cmcc-esm2,tas_mpi-esm1-2-hr,tas_nesm3
1950-07,800.46,551.11,24.64,24.94,25.44
1951-07,648.82,791.01,24.85,25.31,25.43
1952-07,749.38,789.37,24.78,25.13,25.05
1953-07,708.83,731.36,25.42,25.11,25.17
1954-07,865.3,660.35,25.06,24.63,25.24
1955-07,869.14,426.67,24.82,24.16,25.18
1956-07,683.8,717.97,24.61,24.73,24.93
1957-07,797.58,622.89,24.93,24.66,25.39
1958-07,651.24,596.9,25.18,24.62,25.66
1959-07,674.29,775.8,24.65,24.94,25.67
1960-07,762.5,749.04,24.78,24.93,25.21
1961-07,866.82,710.22,25.14,25.21,25.07
1962-07,716.35,842.33,25.18,24.87,25.07
1963-07,633.63,764.79,24.63,24.77,24.6
1964-07,787.52,663.31,24.15,24.77,24.98
1965-07,799.01,682.4,24.56,25,25.28
1966-07,839.22,720.45,25.03,25.02,25.18
1967-07,775.2,656.31,25.08,24.61,24.68
1968-07,728.06,690.7,24.71,24.69,25.05
1969-07,579.07,786.48,24.52,24.72,24.94
1970-07,811.27,825.53,24.11,24.99,24.86
1971-07,633.8,813.75,24.54,25.45,24.74
1972-07,670.35,831.49,24.95,25.13,24.27
1973-07,781.69,664.87,25.15,24.53,24.58
1974-07,658.22,714.41,25.44,24.72,25.38
1975-07,809.18,744.45,25.19,24.32,25.34
1976-07,740.5,874,25.07,24.93,25.07
1977-07,706.82,704.57,25.16,25.01,25.3
1978-07,979.31,616.37,25.13,24.94,24.83
1979-07,689.86,732.36,25.52,24.91,25.01
1980-07,850.51,762.35,25.23,25.27,24.89
1981-07,612.58,896.09,24.99,24.91,24.94
1982-07,746.82,709.84,25.29,24.95,25.36
1983-07,621.35,762.71,25.57,24.77,24.54
1984-07,818.38,760.28,25.63,24.95,24.94
1985-07,540.02,696.55,24.98,25.31,24.5
1986-07,755.17,520.04,25.16,25.42,25
1987-07,940.79,828.88,25.29,25.42,24.94
1988-07,803.65,700.8,25.47,25.05,25.21
1989-07,655.05,652.32,25.58,25.02,25.55
1990-07,575.99,669.83,25.54,25.21,25.73
1991-07,658.54,715.67,24.92,25.26,25.24
1992-07,711.61,669.34,25.33,24.64,25.02
1993-07,563.28,679.78,24.76,25.01,24.72
1994-07,748.37,749.05,24.49,25.69,25.29
1995-07,704.17,722.25,24.59,25.6,25.13
1996-07,702.16,560.92,24.87,25.31,25.45
1997-07,561.58,663.61,25.5,24.97,25.32
1998-07,650.07,963.09,25.49,25.44,25.71
1999-07,986.27,709.66,25.41,24.99,25.62
2000-07,777.74,795.5,25.52,25.43,25.34
2001-07,661.01,765.33,25.48,25.85,25.35
2002-07,825.01,781.59,25.62,25.73,25.46
2003-07,654.39,759.75,25.39,25.67,25.37
2004-07,598.57,565.64,25.15,25.45,25.91
2005-07,632.21,681.6,25,25.22,25.6
2006-07,705.25,669.66,25.63,25.75,25.44
2007-07,674.32,611.76,25.66,25.59,25.63
2008-07,734.9,724.15,26.1,25.5,25.51
2009-07,645.8,691.08,25.08,25.8,25.54
2010-07,738.61,724.23,25.5,25.81,25.47
2011-07,922.04,725.09,26.15,25.59,25.65
2012-07,708.46,734.77,25.76,26.07,25.58
2013-07,855.2,708.35,25.97,25.79,26.09
2014-07,739.58,740.81,25.42,25.73,25.67
